turno,nacionalidade,uf,codigo,nome,cargo,totalVotos,numeroCandidatoMaisVotado,totalVotosCandidatoMaisVotado,votosHaddad,votosBolsonaro,percentHaddad,percentBolsonaro
2,Exterior,zz,29173,KATMANDU,presidente,20,17,12,8,12,0.4,0.6
2,Exterior,zz,29254,ABIDJÃ,presidente,27,13,17,17,10,0.6296296296296297,0.3703703703703703
2,Exterior,zz,29262,ABU DHABI,presidente,677,17,539,138,539,0.2038404726735598,0.7961595273264401
2,Exterior,zz,29270,ACCRA-GANA,presidente,14,13,9,9,5,0.6428571428571429,0.3571428571428572
2,Exterior,zz,29289,AMÃ,presidente,350,13,231,231,119,0.66,0.34
2,Exterior,zz,29297,ANCARA,presidente,15,17,8,7,8,0.4666666666666667,0.5333333333333333
2,Exterior,zz,29319,ARTIGAS,presidente,402,17,319,83,319,0.2064676616915423,0.7935323383084577
2,Exterior,zz,29327,ASSUNÇÃO,presidente,1094,17,881,213,881,0.1946983546617916,0.8053016453382084
2,Exterior,zz,29335,ATENAS,presidente,375,17,276,99,276,0.264,0.736
2,Exterior,zz,29343,BANGKOK,presidente,74,17,53,21,53,0.2837837837837838,0.7162162162162162
2,Exterior,zz,29351,BARCELONA,presidente,1745,13,939,939,806,0.5381088825214899,0.46189111747851
2,Exterior,zz,29360,BEIRUTE,presidente,1982,17,1041,941,1041,0.4747729566094854,0.5252270433905146
2,Exterior,zz,29378,BELGRADO,presidente,26,13,16,16,10,0.6153846153846154,0.3846153846153846
2,Exterior,zz,29386,BERLIM,presidente,2600,13,1832,1832,768,0.7046153846153846,0.2953846153846154
2,Exterior,zz,29394,BISSAU,presidente,27,17,14,13,14,0.4814814814814815,0.5185185185185185
2,Exterior,zz,29408,BOGOTÁ,presidente,464,17,284,180,284,0.3879310344827586,0.6120689655172413
2,Exterior,zz,29416,BOSTON,presidente,13613,17,11786,1827,11786,0.1342099463747888,0.8657900536252112
2,Exterior,zz,29432,BRUXELAS,presidente,1795,17,1049,746,1049,0.4155988857938719,0.5844011142061282
2,Exterior,zz,29440,BUCARESTE,presidente,21,17,14,7,14,0.3333333333333333,0.6666666666666666
2,Exterior,zz,29459,BUDAPESTE,presidente,110,17,56,54,56,0.4909090909090909,0.509090909090909
2,Exterior,zz,29467,BUENOS AIRES,presidente,2931,13,1566,1566,1365,0.534288638689867,0.4657113613101331
2,Exterior,zz,29475,CAIENA,presidente,1501,17,950,551,950,0.3670886075949367,0.6329113924050633
2,Exterior,zz,29483,CAIRO,presidente,44,17,24,20,24,0.4545454545454545,0.5454545454545454
2,Exterior,zz,29491,CAMBERRA,presidente,822,17,539,283,539,0.3442822384428224,0.6557177615571776
2,Exterior,zz,29505,CARACAS,presidente,427,17,360,67,360,0.1569086651053864,0.8430913348946136
2,Exterior,zz,29513,CHICAGO,presidente,1744,17,1216,528,1216,0.3027522935779817,0.6972477064220184
2,Exterior,zz,29521,CHUY,presidente,14,17,10,4,10,0.2857142857142857,0.7142857142857143
2,Exterior,zz,29530,CIDADE DO CABO,presidente,114,17,64,50,64,0.4385964912280702,0.5614035087719298
2,Exterior,zz,29548,SINGAPURA-SING,presidente,223,17,164,59,164,0.2645739910313901,0.7354260089686099
2,Exterior,zz,29556,CIUDAD DEL ESTE,presidente,2389,17,2196,193,2196,0.08078694014231896,0.9192130598576811
2,Exterior,zz,29564,CIUDAD GUAYANA,presidente,36,17,32,4,32,0.1111111111111111,0.8888888888888888
2,Exterior,zz,29572,COCHABAMBA,presidente,120,17,97,23,97,0.1916666666666667,0.8083333333333333
2,Exterior,zz,29580,CONCEPCIÓN,presidente,40,17,40,0,40,0.0,1.0
2,Exterior,zz,29599,COPENHAGUE-DINA,presidente,610,13,420,420,190,0.6885245901639344,0.3114754098360656
2,Exterior,zz,29602,CÓRDOBA,presidente,309,17,157,152,157,0.4919093851132686,0.5080906148867314
2,Exterior,zz,29610,DACAR,presidente,56,17,32,24,32,0.4285714285714285,0.5714285714285714
2,Exterior,zz,29645,DÍLI,presidente,38,17,27,11,27,0.2894736842105263,0.7105263157894737
2,Exterior,zz,29653,DOHA,presidente,199,17,160,39,160,0.1959798994974874,0.8040201005025126
2,Exterior,zz,29661,DUBLIN,presidente,947,13,510,510,437,0.5385427666314678,0.4614572333685322
2,Exterior,zz,29670,ENCARNACIÓN,presidente,111,17,93,18,93,0.1621621621621622,0.8378378378378378
2,Exterior,zz,29688,ESTOCOLMO,presidente,1087,13,666,666,421,0.6126954921803128,0.3873045078196872
2,Exterior,zz,29696,FRANKFURT,presidente,2603,13,1327,1327,1276,0.5097963887821744,0.4902036112178256
2,Exterior,zz,29700,GENEBRA,presidente,2923,17,1846,1077,1846,0.3684570646595963,0.6315429353404037
2,Exterior,zz,29718,GEORGETOWN,presidente,55,17,47,8,47,0.1454545454545454,0.8545454545454545
2,Exterior,zz,29742,HAMAMATSU,presidente,5076,17,4677,399,4677,0.07860520094562648,0.9213947990543735
2,Exterior,zz,29750,HANÓI,presidente,17,13,10,10,7,0.5882352941176471,0.4117647058823529
