Nome,Usuário,Partido,Orientação Política
Jair Messias Bolsonaro,jairbolsonaro,Sem Partido,Direita
Hamilton Mourão,GeneralMourao,PRTB,Direita
Marina Silva,MarinaSilva,REDE,Esquerda
Fernando Haddad,Haddad_Fernando,PT,Esquerda
Luís Inácio Lula da Silva,LulaOficial,PT,Esquerda
Ciro Gomes,cirogomes,PDT,Esquerda
Guilherme Boulos,GuilhermeBoulos,PSOL,Esquerda
Geraldo Alckmin,geraldoalckmin,PSDB,Centro
João Amoedo,joaoamoedonovo,NOVO,Direita
Gladson Cameli,GladsonCameli,PP,Direita
Renan Filho,RenanFilho_,MDB,Centro
Waldez Góes,waldezoficial,PDT,Esquerda
Wilson Lima,wilsonlimaAM,PSC,Direita
Rui Costa,costa_rui,PT,Esquerda
Camilo Santana,CamiloSantanaCE,PT,Esquerda
Ibaneis Rocha,IbaneisOficial,MDB,Centro
Renato Casagrande,Casagrande_ES,PSB,Esquerda
Ronaldo Caiado,ronaldocaiado,DEM,Direita
Flávio Dino,FlavioDino,PCdoB,Esquerda
Mauro Mendes,MauroMendes40,DEM,Direita
Reinaldo Azambuja,Reinaldo45psdb,PSDB,Centro
Romeu Zema,RomeuZema,NOVO,Direita
Helder Barbalho,helderbarbalho,MDB,Centro
João Azevêdo,joaoazevedolins,Cidadania,Esquerda
Ratinho Júnior,ratinho_jr,PSD,Direita
Paulo Câmara,PauloCamara40,PSB,Esquerda
Wellington Dias,wdiaspi,PT,Esquerda
Cláudio Castro,claudiocastroRJ,PSC,Direita
Fátima Bezerra,fatimabezerra,PT,Esquerda
Eduardo Leite,EduardoLeite_,PSDB,Centro
Marcos Rocha,celmarcosrocha,PSL,Direita
AntonioDenarium,antoniodenarium,PSL,Direita
Carlos Moisés,CarlosMoises,PSL,Direita
João Dória Júnior,jdoriajr,PSDB,Centro
Belivaldo Chagas,belivaldochagas,PSD,Direita
Mauro Carlesse,maurocarlesse,DEM,Direita
Ricardo Salles,rsallesmma,Sem Partido,Direita
Ernesto Araújo,ernestofaraujo,Sem Partido,Direita
Olavo de Carvalho,opropriolavo,Sem Partido,Direita
Tarcísio Gomes de Freitas,tarcisiogdf,Sem Partido,Direita
Damares Alves,DamaresAlves,Sem Partido,Direita
Marcos Pontes,Astro_Pontes,Sem Partido,Direita
Carlos Bolsonaro,CarlosBolsonaro,Republicanos,Direita
Eduardo Moreira,eduardomoreira,Sem Partido,Esquerda
Sabrina Fernandes,safbf,Sem Partido,Esquerda
Luiza Erundina,luizaerundina,PSOL,Esquerda
Laura Carvalho,lauraabcarvalho,Sem Partido,Esquerda
Mídia Ninja,MidiaNINJA,Sem Partido,Esquerda
Dilma Roussef,dilmabr,Sem Partido,Esquerda
Jandira Feghali,jandira_feghali,PCdoB,Esquerda
Jornalistas Livres,J_LIVRES,Sem Partido,Esquerda
Brasil 247,brasil247,Sem Partido,Esquerda
The Intercept Brasil,TheInterceptBr,Sem Partido,Esquerda
Carta Capital,cartacapital,Sem Partido,Esquerda
Revista Fórum,revistaforum,Sem Partido,Esquerda
Veja,VEJA,Sem Partido,Direita
Folha de São Paulo,folha,Sem Partido,Centro
O Estado de São Paulo,EstadaoSaoPaulo,Sem Partido,Direita
O Globo,OGloboPolitica,Sem Partido,Direita
O Antagonista,o_antagonista,Sem Partido,Direita
Carla Zambelli,CarlaZambelli38,PSL,Direita
Movimento Brasil Livre,MBLivre,Sem Partido,Direita
Rodrigo Constantino,Rconstantino,Sem Partido,Direita
Claudio Dantas,claudioedantas,Sem Partido,Direita
Diogo Mainardi,diogomainardi,Sem Partido,Direita
Alexandre Garcia,alexandregarcia,Sem Partido,Direita
Jean Wyllys,jeanwyllys_real,Sem Partido,Esquerda
Marcelo Freixo,MarceloFreixo,PSOL,Esquerda
Fernando Henrique Cardoso,FHC,PSDB,Centro
Michel Temer,MichelTemer,MDB,Centro
Rodrigo Maia,RodrigoMaia,MDB,Centro
Henrique Mandetta,lhmandetta,DEM,Direita
Davi Alcolumbre,davialcolumbre,DEM,Direita
Augusto Heleno Ribeiro Pereira,gen_heleno,Sem Partido,Direita
Manuela d'Ávila,ManuelaDavila,PCdoB,Esquerda
Gleisi Hoffman,gleisi,PT,Esquerda
Alexandre Frota,77_frota,PSDB,Centro
Baleia Rossi,Baleia_Rossi,MDB,Centro
Tasso Jereissati,tassojereissati,PSDB,Centro
Eduardo Girão,EduGiraoOficial,PODEMOS,Direita
Tabata Amaral,tabataamaralsp,PDT,Esquerda
David Miranda,davidmirandario,PSOL,Esquerda
Alessandro Molon,alessandromolon,PSB,Esquerda
Randolfe Rodrigues,randolfeap,REDE,Esquerda
Benedita da Silva,dasilvabenedita,PT,Esquerda
Lindbergh Farias,lindberghfarias,PT,Esquerda
Humberto Costa,senadorhumberto,PT,Esquerda
Rui Falcão,rfalcao13,PT,Esquerda
Eduardo Suplicy,esuplicy,PT,Esquerda
Bruno Covas,brunocovas,PSDB,Centro
Kim Kataguiri,KimKataguiri,DEM,Direita
Rogério Carvalho,SenadorRogerio,PT,Esquerda
Arthur do Val,arthurmoledoval,Patriota,Direita
Fernando Holiday,FernandoHoliday,Patriota,Direita
Joice Hasselmann,joicehasselmann,PSL,Direita
Vicentinho Junior,vicentinhojr,PR,Direita
Tiago Dimas,tiago_dimas,SD,Centro
Professora Dorinha,profdorinha,DEM,Direita
ELI BORGES,elidiasborges,SD,Centro
Celio Moura,CelioMouraTO,PT,Esquerda
Laercio Oliveira,LaercioFederal,PP,Direita
Joao Daniel,depjoaodanielpt,PT,Esquerda
Gustinho Ribeiro,GustinhoRibeiro,SD,Centro
Fabio Reis,fabioreis1515,MDB,Centro
Fabio Mitidieri,depfmitidieri,PSD,Direita
Fabio Henrique,FabioHenriqueSE,PDT,Esquerda
